City,day,CO_mean,CO_min,CO_max,CO_std,NO2_mean,NO2_min,NO2_max,NO2_std,SO2_mean,SO2_min,SO2_max,SO2_std,O3_mean,O3_min,O3_max,O3_std,PM2.5_mean,PM2.5_min,PM2.5_max,PM2.5_std,PM10_mean,PM10_min,PM10_max,PM10_std,AQI_mean,AQI_min,AQI_max,AQI_std
New York,2024-10-14,338.125,166.0,507.0,106.53242515166758,24.791666666666668,3.8,66.3,17.09779840052302,5.829166666666667,2.0,11.4,2.7711995780616876,32.333333333333336,1.0,75.0,21.764883296896777,15.579166666666666,1.4,23.7,7.844132626789699,22.65416666666667,2.0,34.1,11.480796032341654,29.674027791666663,21.183334,35.341667,4.601432156331841
New York,2024-10-15,190.70833333333334,155.0,236.0,21.45466234252788,11.029166666666667,3.9,28.1,5.576540860696215,2.5375,1.4,3.6,0.6870304720790902,47.375,29.0,71.0,12.940709274291697,4.425,2.5,6.8,1.5696164028748913,6.5,3.6,10.2,2.3640422272400112,22.93020854166667,14.400001,31.158335,4.932970419552335
New York,2024-10-16,191.70833333333334,155.0,252.0,27.589347608257704,14.791666666666666,3.3,32.8,9.005694655710021,2.8041666666666667,1.3,4.1,1.0658653013301962,47.541666666666664,30.0,73.0,14.788300800961219,4.829166666666667,1.1,10.5,3.0832618479766523,6.933333333333334,1.5,15.0,4.417225832801739,19.229166666666668,12.799999,29.2,5.720100194217268
New York,2024-10-17,193.16666666666666,155.0,282.0,33.54642035807366,18.033333333333335,6.9,42.1,9.475674424393306,3.3375,2.8,4.1,0.4391815510499146,46.291666666666664,19.0,73.0,16.106923077189283,7.683333333333334,4.3,10.2,2.029492690233236,11.083333333333334,6.1,14.7,2.9887712564176616,19.622499833333332,13.200001,29.2,5.464093978837261
New York,2024-10-18,233.54166666666666,161.0,454.0,66.794284555457,22.558333333333334,7.0,55.7,15.24903180580632,3.7708333333333335,2.6,5.2,0.743364365375517,44.375,10.0,79.0,19.83587549168776,5.079166666666667,2.1,16.2,3.328007520720321,7.266666666666667,2.9,23.2,4.7560183078839735,21.295277625,13.6,31.599998,5.578520298829523
New York,2024-10-19,377.9166666666667,223.0,620.0,121.42126332898125,41.92916666666667,18.9,66.6,16.17739913439806,7.979166666666667,5.4,12.5,2.3494641695624927,23.708333333333332,0.0,68.0,25.827991500067057,12.575000000000001,6.5,26.8,5.673680654911152,17.970833333333335,9.3,38.4,8.11405003503272,24.394652625000003,19.066668,30.64,3.7387321337714234
New York,2024-10-20,441.0416666666667,190.0,716.0,157.97646472116378,43.32083333333333,14.1,72.1,20.51171413282339,8.9125,6.2,13.6,2.338396421928274,25.916666666666668,0.0,79.0,31.75711719841118,17.466666666666665,6.2,29.3,7.59099390105124,25.2375,8.8,42.3,11.059947814170455,33.415278416666666,28.68,36.325,2.552025147725845
New York,2024-10-21,356.0,200.0,629.0,120.53539981555481,40.96666666666667,16.5,75.3,18.3841535418217,8.741666666666667,6.1,10.2,1.221516045443269,37.083333333333336,0.0,92.0,31.657016073323565,14.504166666666668,8.1,22.2,3.8757304126943684,20.779166666666665,11.8,31.9,5.508331962989589,31.217013249999997,27.458334,36.8,2.872125592249907
New York,2024-10-22,328.6666666666667,233.0,476.0,70.21870595978443,39.983333333333334,22.2,71.4,15.702441423761682,8.379166666666666,5.2,10.7,1.9836240805035676,40.125,8.0,85.0,24.69696777726578,13.404166666666667,7.8,26.1,4.496518379394427,19.2625,11.2,37.7,6.4818685242156375,28.461665125,24.66667,34.0,2.792376930534215
New York,2024-10-23,297.2083333333333,181.0,466.0,88.97091814386495,37.458333333333336,12.0,71.9,18.34585409074325,9.691666666666666,6.6,13.3,1.95223766075188,52.0,16.0,97.0,26.333975409526857,14.174999999999999,7.9,18.7,3.5307654053797015,21.462500000000002,13.7,27.1,4.349493973565998,31.35125041666667,27.283335,38.800003,3.240991694071885
